,fips,first_case_date,first_death_date,first_case_week,first_death_week
2048,39001,2020-04-04,,2020-03-30,
2049,39003,2020-03-28,2020-04-07,2020-03-23,2020-04-06
2050,39005,2020-03-18,,2020-03-16,
2051,39007,2020-03-20,2020-04-12,2020-03-16,2020-04-06
2052,39009,2020-03-26,2020-03-30,2020-03-23,2020-03-30
2053,39011,2020-03-28,2020-04-11,2020-03-23,2020-04-06
2054,39013,2020-03-13,2020-04-06,2020-03-09,2020-04-06
2055,39015,2020-03-30,2020-03-31,2020-03-30,2020-03-30
2056,39017,2020-03-14,2020-04-03,2020-03-09,2020-03-30
2057,39019,2020-03-22,2020-04-24,2020-03-16,2020-04-20
2058,39021,2020-03-24,2020-04-11,2020-03-23,2020-04-06
2059,39023,2020-03-19,2020-04-23,2020-03-16,2020-04-20
2060,39025,2020-03-21,2020-04-03,2020-03-16,2020-03-30
2061,39027,2020-03-22,2020-04-08,2020-03-16,2020-04-06
2062,39029,2020-03-22,2020-03-26,2020-03-16,2020-03-23
2063,39031,2020-03-17,,2020-03-16,
2064,39033,2020-03-24,2020-05-03,2020-03-23,2020-04-27
2065,39035,2020-03-10,2020-03-22,2020-03-09,2020-03-16
2066,39037,2020-03-17,2020-03-31,2020-03-16,2020-03-30
2067,39039,2020-03-20,2020-04-23,2020-03-16,2020-04-20
2068,39041,2020-03-18,2020-03-30,2020-03-16,2020-03-30
2069,39043,2020-03-20,2020-03-20,2020-03-16,2020-03-16
2070,39045,2020-03-24,2020-04-13,2020-03-23,2020-04-13
2071,39047,2020-03-25,,2020-03-23,
2072,39049,2020-03-14,2020-03-23,2020-03-09,2020-03-23
2073,39051,2020-03-27,,2020-03-23,
2074,39053,2020-03-21,2020-03-24,2020-03-16,2020-03-23
2075,39055,2020-03-16,2020-04-08,2020-03-16,2020-04-06
2076,39057,2020-03-22,2020-03-31,2020-03-16,2020-03-30
2077,39059,2020-04-02,,2020-03-30,
2078,39061,2020-03-19,2020-04-02,2020-03-16,2020-03-30
2079,39063,2020-03-22,2020-04-11,2020-03-16,2020-04-06
2080,39065,2020-04-02,,2020-03-30,
2081,39067,2020-04-16,,2020-04-13,
2082,39069,2020-04-08,,2020-04-06,
2083,39071,2020-03-23,2020-04-29,2020-03-23,2020-04-27
2084,39073,2020-04-11,2020-04-22,2020-04-06,2020-04-20
2085,39075,2020-03-30,2020-04-20,2020-03-30,2020-04-20
2086,39077,2020-03-18,2020-03-30,2020-03-16,2020-03-30
2087,39079,2020-04-08,,2020-04-06,
2088,39081,2020-03-26,2020-04-22,2020-03-23,2020-04-20
2089,39083,2020-03-22,2020-04-02,2020-03-16,2020-03-30
2090,39085,2020-03-17,2020-03-28,2020-03-16,2020-03-23
2091,39087,2020-03-25,,2020-03-23,
2092,39089,2020-03-20,2020-04-03,2020-03-16,2020-03-30
2093,39091,2020-03-23,,2020-03-23,
2094,39093,2020-03-14,2020-03-30,2020-03-09,2020-03-30
2095,39095,2020-03-15,2020-03-20,2020-03-09,2020-03-16
2096,39097,2020-03-22,2020-04-01,2020-03-16,2020-03-30
2097,39099,2020-03-17,2020-03-26,2020-03-16,2020-03-23
2098,39101,2020-03-20,2020-04-16,2020-03-16,2020-04-13
2099,39103,2020-03-16,2020-03-29,2020-03-16,2020-03-23
2100,39105,2020-04-07,,2020-04-06,
2101,39107,2020-03-25,2020-04-04,2020-03-23,2020-03-30
2102,39109,2020-03-19,2020-03-20,2020-03-16,2020-03-16
2103,39111,2020-04-05,,2020-03-30,
2104,39113,2020-03-18,2020-03-30,2020-03-16,2020-03-30
2105,39115,2020-04-06,,2020-04-06,
2106,39117,2020-04-01,2020-04-27,2020-03-30,2020-04-27
2107,39119,2020-03-26,,2020-03-23,
2108,39121,2020-04-09,,2020-04-06,
2109,39123,2020-03-28,2020-05-01,2020-03-23,2020-04-27
2110,39125,2020-04-06,,2020-04-06,
2111,39127,2020-03-31,2020-05-05,2020-03-30,2020-05-04
2112,39129,2020-03-25,2020-04-16,2020-03-23,2020-04-13
2113,39131,2020-03-28,,2020-03-23,
2114,39133,2020-03-22,2020-03-30,2020-03-16,2020-03-30
2115,39135,2020-03-30,2020-04-09,2020-03-30,2020-04-06
2116,39137,2020-04-06,2020-04-22,2020-04-06,2020-04-20
2117,39139,2020-03-19,2020-04-09,2020-03-16,2020-04-06
2118,39141,2020-03-30,2020-04-22,2020-03-30,2020-04-20
2119,39143,2020-03-23,2020-04-08,2020-03-23,2020-04-06
2120,39145,2020-04-06,,2020-04-06,
2121,39147,2020-03-24,2020-03-31,2020-03-23,2020-03-30
2122,39149,2020-03-26,2020-04-25,2020-03-23,2020-04-20
2123,39151,2020-03-11,2020-03-23,2020-03-09,2020-03-23
2124,39153,2020-03-13,2020-03-27,2020-03-09,2020-03-23
2125,39155,2020-03-12,2020-03-26,2020-03-09,2020-03-23
2126,39157,2020-03-15,2020-05-06,2020-03-09,2020-05-04
2127,39159,2020-03-20,,2020-03-16,
2128,39161,2020-03-28,,2020-03-23,
2129,39163,2020-04-28,,2020-04-27,
2130,39165,2020-03-20,2020-04-12,2020-03-16,2020-04-06
2131,39167,2020-03-22,2020-04-12,2020-03-16,2020-04-06
2132,39169,2020-03-25,2020-04-11,2020-03-23,2020-04-06
2133,39171,2020-04-03,2020-04-09,2020-03-30,2020-04-06
2134,39173,2020-03-22,2020-04-08,2020-03-16,2020-04-06
2135,39175,2020-03-26,2020-04-09,2020-03-23,2020-04-06
2136,40001,2020-03-25,2020-04-07,2020-03-23,2020-04-06
2137,40003,2020-04-13,,2020-04-13,
2138,40005,2020-04-02,,2020-03-30,
2139,40007,2020-04-07,,2020-04-06,
2140,40009,2020-03-30,,2020-03-30,
2141,40011,2020-05-04,,2020-05-04,
2142,40013,2020-03-25,2020-04-21,2020-03-23,2020-04-20
2143,40015,2020-03-27,2020-04-15,2020-03-23,2020-04-13
2144,40017,2020-03-16,2020-03-31,2020-03-16,2020-03-30
2145,40019,2020-03-25,2020-04-27,2020-03-23,2020-04-27
2146,40021,2020-03-27,2020-04-07,2020-03-23,2020-04-06
2147,40023,2020-03-27,,2020-03-23,
2148,40025,2020-04-21,,2020-04-20,
2149,40027,2020-03-16,2020-03-24,2020-03-16,2020-03-23
2150,40029,,,,
2151,40031,2020-03-26,2020-04-21,2020-03-23,2020-04-20
2152,40033,2020-03-30,2020-04-22,2020-03-30,2020-04-20
2153,40035,2020-03-26,,2020-03-23,
2154,40037,2020-03-25,2020-03-27,2020-03-23,2020-03-23
2155,40039,2020-03-19,,2020-03-16,
2156,40041,2020-03-25,2020-04-16,2020-03-23,2020-04-13
2157,40043,2020-04-07,,2020-04-06,
2158,40045,,,,
2159,40047,2020-03-29,2020-04-10,2020-03-23,2020-04-06
2160,40049,2020-03-20,2020-04-29,2020-03-16,2020-04-27
2161,40051,2020-03-19,2020-04-15,2020-03-16,2020-04-13
2162,40053,2020-04-03,,2020-03-30,
2163,40055,2020-04-01,2020-04-01,2020-03-30,2020-03-30
2164,40057,,,,
2165,40059,2020-04-19,,2020-04-13,
2166,40061,2020-04-19,,2020-04-13,
2167,40063,,,,
2168,40065,2020-03-12,,2020-03-09,
2169,40067,2020-04-06,,2020-04-06,
2170,40069,2020-04-14,,2020-04-13,
2171,40071,2020-03-16,2020-04-01,2020-03-16,2020-03-30
2172,40073,2020-04-02,,2020-03-30,
2173,40075,2020-04-02,,2020-03-30,
2174,40077,2020-03-27,2020-04-04,2020-03-23,2020-03-30
2175,40079,2020-03-28,,2020-03-23,
2176,40081,2020-03-26,2020-05-02,2020-03-23,2020-04-27
2177,40083,2020-03-19,2020-04-29,2020-03-16,2020-04-27
2178,40085,2020-03-30,,2020-03-30,
2179,40087,2020-03-19,2020-04-30,2020-03-16,2020-04-27
2180,40089,2020-04-03,,2020-03-30,
2181,40091,2020-04-05,,2020-03-30,
2182,40093,2020-04-03,2020-04-14,2020-03-30,2020-04-13
2183,40095,2020-04-07,,2020-04-06,
2184,40097,2020-03-24,2020-04-01,2020-03-23,2020-03-30
2185,40099,2020-04-19,,2020-04-13,
2186,40101,2020-03-22,2020-03-31,2020-03-16,2020-03-30
2187,40103,2020-03-22,,2020-03-16,
2188,40105,2020-03-28,,2020-03-23,
2189,40107,2020-04-10,,2020-04-06,
2190,40109,2020-03-14,2020-03-25,2020-03-09,2020-03-23
2191,40111,2020-03-26,,2020-03-23,
2192,40113,2020-03-25,2020-04-02,2020-03-23,2020-03-30
2193,40115,2020-03-26,2020-04-24,2020-03-23,2020-04-20
2194,40117,2020-03-17,2020-03-22,2020-03-16,2020-03-16
2195,40119,2020-03-16,2020-04-25,2020-03-16,2020-04-20
2196,40121,2020-03-27,2020-04-14,2020-03-23,2020-04-13
2197,40123,2020-03-23,2020-04-14,2020-03-23,2020-04-13
2198,40125,2020-03-25,2020-04-06,2020-03-23,2020-04-06
2199,40127,2020-04-27,,2020-04-27,
2200,40129,,,,
2201,40131,2020-03-29,2020-04-14,2020-03-23,2020-04-13
2202,40133,2020-03-29,2020-04-05,2020-03-23,2020-03-30
